goalieId,name,shots,goals,xg,v,info,goals_per100_vs_base
8476914.0,Joonas Korpisalo,8052,573,540.6091178838701,0.01947530493483235,480.0050797489463,0.11854459052917932
8471715.0,Ondrej Pavelec,993,71,64.26605643529675,0.019726947154499262,56.71687282867664,0.12008948885447457
8474889.0,Martin Jones,14888,1028,976.4777112690812,0.021860352015379877,864.9310829692075,0.13320060097419678
8478916.0,Joey Daccord,719,60,52.59578773876213,0.022027764118586004,46.56966320330452,0.1342304816261894
8477180.0,Aaron Dell,4916,342,322.95317403596675,0.02265360313330665,285.335179543656,0.13808182504135014
8470657.0,Jimmy Howard,6808,461,430.9683774543891,0.02298502091456976,385.00979839021124,0.14012218074213878
8480420.0,Collin Delia,2081,160,148.24110531316455,0.02303424388085973,129.9092130558985,0.14042526935462984
8473461.0,Steve Mason,2712,180,167.49134842228665,0.023534174654311273,147.17415854842645,0.14350430867499236
8479496.0,David Rittich,6543,448,420.4814263635445,0.023748371765950148,376.89980861691976,0.14482394295869117
8468685.0,Henrik Lundqvist,9287,597,565.2473456164063,0.023899539037330476,502.71382497194475,0.1457554081375309
8474682.0,Dustin Tokarski,1906,143,128.74849618510996,0.026630320236739988,116.2391259923118,0.16260304609996973
8482821.0,Arvid Soderblom,751,61,52.724857265584994,0.027128591316870298,47.27473523882187,0.16568145416123864
8477202.0,Andrew Hammond,726,60,52.414183257039625,0.02859415964117598,45.34044604151395,0.17474371563044738
8471239.0,Cory Schneider,5852,395,365.2076433729362,0.029554725174104044,329.9398676517306,0.18068957345150766
8471306.0,Thomas Greiss,9459,625,586.2966239316113,0.02991249663647267,524.0672782523569,0.18290542934406018
8477484.0,Spencer Martin,1582,131,116.50325304585041,0.03206740617292746,104.37073438104798,0.19626640283582214
8469514.0,Peter Budaj,2364,153,139.34387494562182,0.03357026065445324,124.77685599959322,0.2055992605692447
8475622.0,Carter Hutton,5925,402,367.554667545827,0.03844248857034288,334.9541954353005,0.23593994835397758
8475663.0,Eddie Lack,989,71,59.61232318696609,0.03963616181019606,53.64828224718125,0.2433928295109647
8478039.0,Kaapo Kahkonen,4255,311,279.19494665158544,0.04306270496116298,256.0523404639667,0.26482982503737706
8471219.0,Al Montoya,1246,87,74.12056042747504,0.043605006371766,65.9310435257342,0.2682283811770117
8470880.0,Brian Elliott,8678,612,564.7072484338987,0.04364898309350746,505.46699657582957,0.2685040494357152
8476343.0,Garret Sparks,903,64,52.218543143520925,0.0446598716531288,48.130045712429585,0.2748437022053324
8467950.0,Craig Anderson,11305,759,699.6326889050735,0.04489897289516902,636.3528238881809,0.2763440050530072
8471774.0,Alex Stalock,4799,317,286.4406048212429,0.045810264386866584,262.92649288072846,0.28206498744257624
8477405.0,Marcus Hogberg,1633,125,106.22597984284694,0.04709748849326733,97.9625078164023,0.2901537217549252
8476903.0,Jon Gillies,1268,100,84.92544361658362,0.048528115526892845,76.46160564994256,0.2991541553360885
8480947.0,Kevin Lankinen,3679,263,234.07058299014298,0.054308352538401584,215.76709022496286,0.3356326740275181
8476876.0,Malcolm Subban,3246,242,213.64742292283248,0.05906157340954481,194.0371454926961,0.3657666411256269
8476234.0,Keith Kinkaid,5188,358,317.4033342354898,0.05906615808131152,292.58959602769545,0.3657957663138159
8475839.0,Louis Domingue,4117,293,259.17545012094735,0.06048419760627902,237.00718009382254,0.37480972647220695
8474636.0,Michael Hutchinson,3069,236,205.2940801417681,0.06129684763212829,187.8817995354813,0.37998042360101597
8477237.0,Mike Condon,2951,195,168.76271897829915,0.06354822308431543,156.0533844018891,0.3943243460136067
8475234.0,J-F Berube,1164,93,74.5032117986339,0.06398342462018072,67.4957680874748,0.3971003104941556
8474152.0,Scott Darling,3144,225,193.32172121868672,0.06927367657582305,178.82939458485433,0.43092804606819635
8480051.0,Cayden Primeau,712,66,47.050810818763786,0.07366777352067407,43.68507949993381,0.4591430179847436
8470320.0,Cam Ward,5481,390,342.20806107998146,0.07432991542712372,316.06274340557786,0.46340397523803173
8474550.0,Antti Niemi,2981,219,185.151349721218,0.07633350349989257,171.40005420107423,0.476312105912452
8473434.0,Chad Johnson,3309,242,207.63310488927118,0.07871746471337089,191.10340652909616,0.49169984587921906
8477225.0,Jared Coreau,792,68,46.434793409843,0.086679288022274,43.2392152751106,0.543320440530666
8477992.0,Jonas Johansson,1161,99,74.14229549091992,0.08705681959122874,69.81229358943048,0.5457769645398138
8476509.0,Maxime Lagace,747,72,50.02204713064972,0.08889148707326824,45.95832812073295,0.5577261488811645
8473607.0,Michal Neuvirth,1885,146,115.06048817550929,0.09442689567030559,107.24502691698746,0.5938926688820068
8471227.0,Devan Dubnyk,10050,631,541.4313016970833,0.10260209194652048,522.3698731784797,0.6476222007025079
8475717.0,Calvin Pickard,2936,231,177.33215408835366,0.137403356047466,169.46668995426563,0.8806035703852535
